jen_voice	In a dimly lit office at night, a man in a dark gray hoodie leans forward over a desk, intently operating a computer displaying audio waveform editing software with one hand on the keyboard while studying the monitor, surrounded by a desk lamp, coffee mug, and scattered papers. 
pre_dead_land	A view from inside a vehicle through a dusty windshield onto a vast barren wasteland of cracked pale earth and large piles of black and white rocks under a flat gray sky, with a tiny distant object on the horizon. 
coordinates_write	A man in a dark hoodie leans over a pink-tiled sink in a blue-tiled bathroom, hands braced on the basin as he stares at his reflection in a small wall mirror under a bare hanging bulb, with soap dispensers mounted behind him. 
depart_east	A man in a dark green hoodie and jeans stands at dusk on a quiet suburban residential street beside a black SUV with its rear hatch and side door open, holding a large olive duffel bag as he loads it while another figure is visible inside the vehicle, with lit houses, bare trees, and a sidewalk under a purple-orange twilight sky. 
therapist	In a therapist's office with beige walls and a curtained window, a young man with a bruised cheek in a gray hoodie sits in a leather armchair across a wooden table from a middle-aged female therapist in a blue cardigan who leans forward speaking, with an orange pill bottle, gray mug, and papers on the table between them. 
headache_studio	In a dimly lit, cluttered audio recording studio filled with cables, papers, a coffee mug, cans, and stacked media, a man in a gray zip-up hoodie sits at a desk with wide eyes and a tense expression, hands resting on the keyboard and mouse while two monitors display glowing green and red audio waveforms. 
viola_quarter_tone	In a dimly lit room with wooden flooring and a soft out-of-focus circular light in the background, a man with short dark hair and stubble draws a bow across the strings of a reddish-brown viola in a tight macro close-up. 
crimson_bleed	A stubbled man in a dark hoodie sits in the driver's seat of an older SUV on a straight desert highway, turned to glance back over his shoulder with wide eyes under a vivid crimson sky, with a woman's reflection visible in the rearview mirror and an empty arid landscape stretching ahead. 
kcrm_radio	A man with short dark hair and stubble wearing a gray hoodie sits in the driver's seat of a black-leather pickup truck interior, gripping the steering wheel and looking forward, with a vast desert landscape under a red sky visible through the windows. 
peripheral_shift	A man with short dark hair and stubble sits in the driver's seat of a car at night, hands gripping the steering wheel, gazing left with a somber expression as strong red ambient light illuminates the gray interior and rain-speckled windows. 
world_shift_entry	From inside a vehicle, a straight dirt road recedes across a flat, arid desert of sparse brown scrub toward distant low hills under a hazy sky, with a lone wooden utility pole to the left of the road and the car's dark dashboard and steering wheel visible in the foreground. 
mirror_pupils	A stubbled man in a dark hoodie grips the steering wheel while driving, his tense face reflected in the cracked rearview mirror of a car on a straight desert highway under a pink sky, with the empty road and distant mesas visible behind him. 
seekers_word	A man with short dark hair drives a car along a straight empty asphalt road through a vast rocky desert with red mesas and buttes under a pink dusk sky, with a weathered peeling green road sign displaying garbled text visible on the windshield. 
music_stops	A man in a dark hoodie sits turned in the driver's seat of a pickup truck on a straight desert highway, wide-eyed and alarmed while glancing over his shoulder, with the dashboard infotainment screen showing an audio waveform, coffee cups and trash in the console, and a lone vehicle visible ahead on the empty road. 
memory_gap	A man in a gray zip-up hoodie sits belted in the driver's seat of a car at dusk, gazing out the side window with his mouth slightly open toward a remote desert highway landscape with sparse vegetation and a lit streetlamp. 
phone_kelly	A man in a dark hoodie sits alone in the driver's seat of a parked car at dusk under a red sky, holding a smartphone that shows multiple missed calls from Mom and urgent texts from Sarah ("where are you??") and an unknown sender ("it's starting"), with rain on the windows and a McDonald's cup on the passenger floor. 
